sma200 sma50 sma20 sma10 vwap10 BolUpper BolLower downSL upSL fivedaymax fivedaymin fivedaymean signal_date sell_date sold_at_loss sold buy_limit prev_close lot ticker fivedayvol
10.8295459758377 13.45 13.6545 13.736 13.765444347259503 14.396011585448724 13.319702700265564 13.09 13.69 13.89 13.3 13.555543440860214 2021-06-17T04:50:36-04:00 X 0.0 0.0 13.44 13.44 5000 GE 
22.250825 21.786000000000005 23.129500000000004 23.293 23.29668574524448 25.31785775968305 22.00928509745981 22.32 25.04 25.2 21.53 22.722179233511586 2021-06-24T11:28:37-04:00 2021-06-28T17:27:18.777256Z 23.95 23.04 22.42 22.42 5000 LAZR 0.656771020807672
43.69160000000001 35.33559999999999 35.984 37.005 36.9850966379467 39.75137123260697 33.79862876739301 39.0 42.33 41.78 34.75 37.902750968079545 2021-06-25T14:07:55-04:00 X 0.0 0.0 40.87 40.87 5000 EDIT 1.988183454298269
50.09964999999999 54.728 57.36600000000001 57.48799999999999 57.36970033825193 60.95749249643505 55.501078932136366 57.0 58.62 58.47 55.72 57.50254111461619 2021-06-25T15:08:53-04:00 X 0.0 0.0 57.65 57.65 5000 CIEN 0.5421237847221918
41.1986 39.7784 44.04600000000001 45.754 45.96569879244105 47.96120796913607 42.36450631657823 43.0 45.29 46.97 43.8201 45.48229937516271 2021-06-28T10:08:47-04:00 X 0.0 0.0 45.07 45.07 5000 NIO 0.6418674810129433
0.0 81.0112 89.738 84.846 84.3025006585032 94.49310446783804 79.03975267501907 79.1 108.75 89.46 79.655 84.36275403773584 2021-06-28T10:29:19-04:00 X 0.0 0.0 87.0 87.0 5000 RBLX 2.311284149855829
9.87585 10.5064 10.479500000000002 10.441 10.419300888874576 10.686052831996264 10.18537573943231 10.47 10.969 10.94 10.215 10.428953386254893 2021-06-28T12:10:59-04:00 X 0.0 0.0 10.65 10.65 5000 ZNGA 0.1420557141631344
25.703850000000003 22.8862 27.908 29.842 29.789928989654936 32.12448160016972 26.365518399830293 30.23 32.35 33.97 28.55 30.751206091193875 2021-06-28T12:48:44-04:00 X 0.0 0.0 31.68 31.68 5000 LI 1.1577852007972071
188.411075 215.669 231.425 243.63900000000004 243.4737410879616 264.0652010434874 210.9847989565125 251.28 316.55 260.31 236.56 251.5651012143481 2021-06-28T13:09:14-04:00 X 0.0 0.0 253.24 253.24 5000 CRWD 5.594590727546668
27.1237 25.817000000000004 29.682 31.751000000000005 31.889802426968423 34.37284397459976 27.36001316825738 31.53 32.65 34.89 31.25 32.68618627755268 2021-06-28T13:29:44-04:00 X 0.0 0.0 31.67 31.67 5000 CHPT 0.6859050052068401
